#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RP20_CCG011270	RP20_CCG020920	7160.A0A182GK16	7160.A0A023EQE1	0	0	0	0	0	0.433	0	0.117	0.477
RP20_CCG011270	RP20_CCG012454	7160.A0A182GK16	7160.A0A182GMD7	0	0	0	0	0.082	0.099	0.613	0.459	0.803
RP20_CCG011270	RP20_CCG027115	7160.A0A182GK16	7160.A0A182HDC1	0	0	0	0	0.042	0.968	0.613	0.593	0.994
RP20_CCG011363	RP20_CCG024530	7160.A0A182GK76	7160.A0A182H991	0	0	0	0	0	0.099	0.062	0.357	0.409
RP20_CCG011816	RP20_CCG021176	7160.A0A182GL59	7160.A0A182H3V6	0	0.001	0.442	0	0	0	0	0	0.442
RP20_CCG011874	RP20_CCG020733	7160.A0A023EQV8	7160.A0A182H356	0	0	0	0	0.042	0.056	0.391	0	0.401
RP20_CCG011874	RP20_CCG027041	7160.A0A023EQV8	7160.A0A182HD84	0	0	0	0	0.055	0.320	0	0.261	0.483
RP20_CCG011874	RP20_CCG017609	7160.A0A023EQV8	7160.A0A182GXI3	0	0	0	0	0	0.134	0.519	0.123	0.602
RP20_CCG011874	RP20_CCG025714	7160.A0A023EQV8	7160.A0A182HB57	0.049	0	0	0	0.350	0.220	0.285	0.166	0.660
RP20_CCG011874	RP20_CCG024251	7160.A0A023EQV8	7160.A0A182H8T1	0	0	0	0	0	0.326	0.557	0.130	0.717
RP20_CCG011874	RP20_CCG021504	7160.A0A023EQV8	7160.A0A182H4G7	0.052	0.047	0.347	0	0.418	0.198	0.293	0.321	0.830
