#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RP20_CCG005741	RP20_CCG006713	7160.A0A182G9G7	7160.A0A182GB21	0	0	0	0	0.521	0	0	0	0.521
RP20_CCG005741	RP20_CCG013225	7160.A0A182G9G7	7160.A0A182GP17	0	0	0	0	0.048	0.806	0.536	0.410	0.942
RP20_CCG006156	RP20_CCG023468	7160.A0A182GA53	7160.A0A182H7L6	0.054	0	0	0	0.065	0.124	0	0.344	0.423
RP20_CCG006156	RP20_CCG016583	7160.A0A182GA53	7160.A0A182GVN2	0	0	0	0	0.046	0.217	0.286	0.084	0.446
RP20_CCG006156	RP20_CCG020703	7160.A0A182GA53	7160.A0A182H338	0	0	0	0	0.085	0.238	0.166	0.197	0.470
RP20_CCG006265	RP20_CCG024828	7160.A0A182GAB6	7160.A0A182H9P7	0.058	0	0	0	0.100	0.369	0	0.102	0.455
RP20_CCG006265	RP20_CCG017612	7160.A0A182GAB6	7160.A0A182GXI4	0.075	0	0	0	0.417	0	0	0.132	0.491
RP20_CCG006265	RP20_CCG021775	7160.A0A182GAB6	7160.A0A182H4X0	0.069	0	0	0	0.242	0.380	0	0	0.524
RP20_CCG006265	RP20_CCG012629	7160.A0A182GAB6	7160.A0A182GMS9	0	0.567	0	0	0	0	0	0.055	0.574
RP20_CCG006265	RP20_CCG009705	7160.A0A182GAB6	7160.A0A182GGX6	0.077	0	0	0	0.417	0.328	0	0.128	0.642
RP20_CCG006265	RP20_CCG013219	7160.A0A182GAB6	7160.A0A182GP12	0	0	0	0	0	0.125	0.559	0.628	0.843
RP20_CCG006404	RP20_CCG024490	7160.A0A182GAK2	7160.A0A182H959	0	0	0	0	0	0.128	0.385	0.182	0.523
RP20_CCG006622	RP20_CCG020002	7160.A0A182GAX4	7160.A0A182H1S6	0	0	0	0	0	0.041	0.465	0	0.465
