#node	identifier	node_degree
AAEL010902	7159.Q16RM3	0
AAEL010906	7159.Q16RM7	0
AAEL011191	7159.Q16QS4	0
AAEL011261	7159.Q16QJ6	0
AAEL011420	7159.Q0IEC2	0
AAEL011432	7159.Q16Q37	0
AAEL011469	7159.Q16PZ1	1
AAEL011479	7159.Q16PZ2	1
AAEL011480	7159.Q16PY9	1
AAEL011576	7159.Q16PQ3	1
AAEL011654	7159.Q16PF2	0
AAEL011709	7159.Q16PA7	2
AAEL011867	7159.Q16NT2	0
AAEL012092	7159.Q16N45	0
AAEL012138	7159.Q16MZ3	0
AAEL012262	7159.Q16ML6	0
AAEL012339	7159.Q16JH7	0
AAEL012381	7159.Q16M89	0
AAEL012388	7159.Q16M76	0
AAEL012513	7159.Q16LV3	1
AAEL012657	7159.Q16LF8	1
AAEL012823	7159.Q16KZ4	0
AAEL012972	7159.Q16KJ5	0
AAEL013086	7159.Q16K82	0
AAEL013203	7159.Q16JV4	0
AAEL013250	7159.Q16JQ3	0
AAEL013359	7159.Q1HR82	4
AAEL013847	7159.Q16HZ7	0
AAEL013849	7159.Q16HZ8	2
AAEL013986	7159.Q16HL0	0
AAEL014003	7159.Q16HJ7	0
AAEL014033	7159.Q16HG5	4
AAEL014367	7159.Q16GJ0	1
AAEL014507	7159.Q16G66	1
AAEL014902	7159.Q16F45	0
AAEL015076	7159.Q16EP2	0
AAEL015297	7159.Q16EA9	0
AAEL015521	7159.Q1DGR7	0
AAEL015603	7159.Q1DGJ8	0
AAEL015672	7159.Q1DGD9	0
AAEL801114	7159.J9HTV7	0
CYP315A1	7159.Q16NV1	0
GPRFZ1	7159.Q16JZ7	1
GPRFZ7	7159.Q16U83	1
GPRGHP4	7159.J9HTN1	0
J9HZD6_AEDAE	7159.J9HZD6	1
J9HZV2_AEDAE	7159.J9HZV2	5
fru	7159.Q176R3	0
retm	7159.Q16KN5	0
