#node	identifier	node_degree
RP20_CCG020002	7160.A0A182H1S6	4
RP20_CCG020086	7160.A0A182H1W9	0
RP20_CCG020152	7160.A0A182H207	0
RP20_CCG020202	7160.A0A182H245	0
RP20_CCG020280	7160.A0A182H296	3
RP20_CCG020309	7160.A0A182H2B4	0
RP20_CCG020336	7160.A0A182H2D5	0
RP20_CCG020338	7160.A0A182H2D7	5
RP20_CCG020428	7160.A0A182H2J8	0
RP20_CCG020474	7160.A0A182H2N1	6
RP20_CCG020539	7160.A0A182H2S5	0
RP20_CCG020595	7160.A0A182H2X0	0
RP20_CCG020703	7160.A0A182H338	10
RP20_CCG020712	7160.A0A182H343	0
RP20_CCG020716	7160.A0A182H345	0
RP20_CCG020733	7160.A0A182H356	6
RP20_CCG020746	7160.A0A182H362	3
RP20_CCG020801	7160.A0A182H391	0
RP20_CCG020920	7160.A0A023EQE1	8
RP20_CCG020921	7160.A0A182H3G2	3
RP20_CCG020977	7160.A0A182H3K1	0
RP20_CCG020979	7160.A0A182H3K3	7
RP20_CCG020989	7160.A0A182H3K8	5
RP20_CCG020998	7160.A0A182H3L7	1
RP20_CCG021137	7160.A0A182H3T1	5
RP20_CCG021138	7160.A0A182H3T2	2
RP20_CCG021176	7160.A0A182H3V6	9
RP20_CCG021186	7160.A0A182H3W3	0
RP20_CCG021254	7160.A0A182H404	0
RP20_CCG021305	7160.A0A182H432	0
RP20_CCG021323	7160.A0A182H443	0
RP20_CCG021402	7160.A0A023EBS4	2
RP20_CCG021504	7160.A0A182H4G7	14
RP20_CCG021582	7160.A0A182H4K6	0
RP20_CCG021586	7160.A0A182H4L0	0
RP20_CCG021601	7160.A0A182H4M0	0
RP20_CCG021652	7160.A0A182H4Q0	2
RP20_CCG021653	7160.A0A182H4Q1	0
RP20_CCG021775	7160.A0A182H4X0	12
RP20_CCG021841	7160.A0A182H518	0
RP20_CCG021879	7160.A0A182H530	0
RP20_CCG021886	7160.A0A182H537	0
RP20_CCG021891	7160.A0A182H540	3
RP20_CCG021911	7160.A0A182H556	0
RP20_CCG021961	7160.A0A182H581	0
RP20_CCG021986	7160.A0A182H596	0
RP20_CCG022019	7160.A0A182H5B1	1
RP20_CCG022027	7160.A0A182H5B7	5
RP20_CCG022170	7160.A0A182H5J7	1
RP20_CCG022185	7160.A0A182H5K1	0
RP20_CCG022199	7160.A0A182H5K8	0
RP20_CCG022238	7160.A0A182H5N2	0
RP20_CCG022282	7160.A0A182H5Q9	0
RP20_CCG022326	7160.A0A023EXF7	0
RP20_CCG022352	7160.A0A182H5V2	1
RP20_CCG022363	7160.A0A182H5W3	1
RP20_CCG022500	7160.A0A182H637	3
RP20_CCG022522	7160.A0A182H656	0
RP20_CCG022524	7160.A0A182H657	1
RP20_CCG022561	7160.A0A182H681	2
RP20_CCG022696	7160.A0A182H6E1	0
RP20_CCG022841	7160.A0A182H6P5	5
RP20_CCG022874	7160.A0A182H6R0	0
RP20_CCG022878	7160.A0A182H6R2	1
RP20_CCG022906	7160.A0A182H6T4	1
RP20_CCG022918	7160.A0A182H6T8	1
RP20_CCG022981	7160.A0A182H6W8	4
RP20_CCG023047	7160.A0A182H6Y9	1
RP20_CCG023148	7160.A0A182H742	5
RP20_CCG023214	7160.A0A182H786	0
RP20_CCG023271	7160.A0A182H7A4	0
RP20_CCG023342	7160.A0A182H7E8	2
RP20_CCG023410	7160.A0A182H7I4	3
RP20_CCG023425	7160.A0A182H7J3	0
RP20_CCG023467	7160.A0A023EID3	9
RP20_CCG023468	7160.A0A182H7L6	8
RP20_CCG023661	7160.A0A182H7X3	0
RP20_CCG023738	7160.A0A182H811	0
RP20_CCG023740	7160.A0A182H812	1
RP20_CCG023780	7160.A0A182H841	4
RP20_CCG023812	7160.A0A182H856	0
RP20_CCG023842	7160.A0A182H869	0
RP20_CCG023897	7160.A0A182H898	0
RP20_CCG023968	7160.A0A182H8E2	1
RP20_CCG024020	7160.A0A182H8F6	0
RP20_CCG024021	7160.A0A182H8F7	0
RP20_CCG024102	7160.A0A182H8J7	2
RP20_CCG024168	7160.A0A182H8M9	0
RP20_CCG024223	7160.A0A182H8R1	0
RP20_CCG024251	7160.A0A182H8T1	6
RP20_CCG024306	7160.A0A182H8W0	0
RP20_CCG024488	7160.A0A182H958	1
RP20_CCG024490	7160.A0A182H959	3
RP20_CCG024530	7160.A0A182H991	2
RP20_CCG024561	7160.A0A182H9A7	4
RP20_CCG024568	7160.A0A182H9B0	0
RP20_CCG024597	7160.A0A182H9C6	7
RP20_CCG024628	7160.A0A182H9E6	1
RP20_CCG024773	7160.A0A182H9L9	0
RP20_CCG024828	7160.A0A182H9P7	11
RP20_CCG024856	7160.A0A182H9R1	0
RP20_CCG024857	7160.A0A182H9R2	1
RP20_CCG024906	7160.A0A182H9T9	0
RP20_CCG025013	7160.A0A182H9Z6	1
RP20_CCG025029	7160.A0A182HA07	4
RP20_CCG025049	7160.A0A182HA21	2
RP20_CCG025051	7160.A0A182HA22	1
RP20_CCG025159	7160.A0A182HA79	0
RP20_CCG025203	7160.A0A182HAA6	0
RP20_CCG025206	7160.A0A182HAA9	0
RP20_CCG025297	7160.A0A182HAG7	0
RP20_CCG025470	7160.A0A182HAS2	0
RP20_CCG025481	7160.A0A182HAT0	2
RP20_CCG025490	7160.A0A182HAT9	0
RP20_CCG025494	7160.A0A023EPY3	17
RP20_CCG025542	7160.A0A182HAW0	0
RP20_CCG025628	7160.A0A182HB08	0
RP20_CCG025658	7160.A0A182HB25	0
RP20_CCG025689	7160.A0A182HB39	3
RP20_CCG025714	7160.A0A182HB57	10
RP20_CCG025782	7160.A0A182HB86	3
RP20_CCG025807	7160.A0A182HBA1	0
RP20_CCG025859	7160.A0A182HBD0	9
RP20_CCG026001	7160.A0A182HBL3	0
RP20_CCG026194	7160.A0A182HBW7	0
RP20_CCG026212	7160.A0A182HBY3	1
RP20_CCG026228	7160.A0A182HBZ8	0
RP20_CCG026289	7160.A0A182HC20	3
RP20_CCG026368	7160.A0A182HC61	4
RP20_CCG026396	7160.A0A182HC72	0
RP20_CCG026399	7160.A0A023EJK9	9
RP20_CCG026400	7160.A0A182HC76	0
RP20_CCG026402	7160.A0A182HC78	0
RP20_CCG026423	7160.A0A182HC86	2
RP20_CCG026429	7160.A0A182HC90	1
RP20_CCG026525	7160.A0A182HCF0	0
RP20_CCG026758	7160.A0A182HCS9	0
RP20_CCG026764	7160.A0A182HCT5	1
RP20_CCG026959	7160.A0A023EMA3	0
RP20_CCG026969	7160.A0A023ECJ9	0
RP20_CCG027041	7160.A0A182HD84	3
RP20_CCG027072	7160.A0A182HDA0	0
RP20_CCG027114	7160.A0A182HDC0	6
RP20_CCG027115	7160.A0A182HDC1	9
RP20_CCG027144	7160.A0A182HDE5	0
RP20_CCG027168	7160.A0A182HDF6	0
RP20_CCG027188	7160.A0A182HDG6	1
RP20_CCG027221	7160.A0A182HDI3	0
RP20_CCG027228	7160.A0A182HDI8	1
RP20_CCG027237	7160.A0A182HDJ1	0
RP20_CCG027349	7160.A0A182HDN9	0
RP20_CCG027379	7160.A0A182HDP9	1
RP20_CCG027396	7160.A0A182HDQ7	1
RP20_CCG027547	7160.A0A182HDY6	0
RP20_CCG027595	7160.A0A182HE13	2
RP20_CCG027634	7160.A0A182HE32	0
RP20_CCG027635	7160.A0A182HE33	0
RP20_CCG027723	7160.A0A182HE88	1
RP20_CCG027730	7160.A0A182HE94	0
RP20_CCG027786	7160.A0A182HEB8	1
RP20_CCG027878	7160.A0A182HEH2	1
RP20_CCG027949	7160.A0A182HEJ7	0
RP20_CCG027956	7160.A0A182HEK1	0
RP20_CCG028035	7160.A0A182HEN7	4
RP20_CCG028043	7160.A0A182HEP5	5
RP20_CCG028119	7160.A0A182HET5	0
RP20_CCG028127	7160.A0A182HET8	0
RP20_CCG028181	7160.A0A182HEW6	3
RP20_CCG028192	7160.A0A182HEX1	0
RP20_CCG028242	7160.A0A182HEZ9	1
RP20_CCG028309	7160.A0A182HF28	0
RP20_CCG028366	7160.A0A182H4D2	0
RP20_CCG028378	7160.A0A182HF62	0
RP20_CCG028395	7160.A0A023EMK8	0
RP20_CCG028398	7160.A0A182HF73	0
RP20_CCG028433	7160.A0A182HFA2	0
RP20_CCG028469	7160.A0A182HFB7	0
RP20_CCG028516	7160.A0A182HFD9	0
RP20_CCG028645	7160.A0A023ETF7	0
