"uniprot_id","mirna/enriched_term"
"Q16GL8","aae-mir-34-5p"
"Q16GL8","Developmental process"
"Q16HK0","aae-mir-34-5p"
"Q16HK0","Developmental process"
"Q16I15","aae-mir-34-5p"
"Q16I15","Developmental process"
"Q16I75","aae-mir-34-5p"
"Q16I75","Developmental process"
"Q16I88","aae-mir-34-5p"
"Q16I88","Developmental process"
"Q16IN4","aae-mir-34-5p"
"Q16IN4","Developmental process"
"Q16IW8","aae-mir-34-5p"
"Q16IW8","Developmental process"
"Q16JC3","aae-mir-34-5p"
"Q16JC3","Developmental process"
"Q16JN7","aae-mir-34-5p"
"Q16JN7","Developmental process"
"Q16KQ8","aae-mir-34-5p"
"Q16KQ8","Developmental process"
"Q16KQ9","aae-mir-34-5p"
"Q16KQ9","Developmental process"
"Q16KR0","aae-mir-34-5p"
"Q16KR0","Developmental process"
"Q16KR1","aae-mir-34-5p"
"Q16KR1","Developmental process"
"Q16L96","aae-mir-34-5p"
"Q16L96","Developmental process"
"Q16LK0","aae-mir-34-5p"
"Q16LK0","Developmental process"
"Q16LS6","aae-mir-34-5p"
"Q16LS6","Developmental process"
"Q16LX7","aae-mir-34-5p"
"Q16LX7","Developmental process"
"Q16M45","aae-mir-34-5p"
"Q16M45","Developmental process"
"Q16MK4","aae-mir-34-5p"
"Q16MK4","Developmental process"
"Q16N83","aae-mir-34-5p"
"Q16N83","Developmental process"
"Q16N85","aae-mir-34-5p"
"Q16N85","Developmental process"
"Q16NB0","aae-mir-34-5p"
"Q16NB0","Developmental process"
"Q16NC7","aae-mir-34-5p"
"Q16NC7","Developmental process"
"Q16PP6","aae-mir-34-5p"
"Q16PP6","Developmental process"
"Q16PT5","aae-mir-34-5p"
"Q16PT5","Developmental process"
"Q16R23","aae-mir-34-5p"
"Q16R23","Developmental process"
"Q16R65","aae-mir-34-5p"
"Q16R65","Developmental process"
"Q16R88","aae-mir-34-5p"
"Q16R88","Developmental process"
"Q16RM1","aae-mir-34-5p"
"Q16RM1","Developmental process"
"Q16RU6","aae-mir-34-5p"
"Q16RU6","Developmental process"
"Q16S36","aae-mir-34-5p"
"Q16S36","Developmental process"
"Q16SB0","aae-mir-34-5p"
"Q16SB0","Developmental process"
"Q16SL7","aae-mir-34-5p"
"Q16SL7","Developmental process"
"Q16TM2","aae-mir-34-5p"
"Q16TM2","Developmental process"
"Q16TR7","aae-mir-34-5p"
"Q16TR7","Developmental process"
"Q16U10","aae-mir-34-5p"
"Q16U10","Developmental process"
"Q16U87","aae-mir-34-5p"
"Q16U87","Developmental process"
"Q16U90","aae-mir-34-5p"
"Q16U90","Developmental process"
"Q16VM1","aae-mir-34-5p"
"Q16VM1","Developmental process"
"Q16VP6","aae-mir-34-5p"
"Q16VP6","Developmental process"
"Q16W03","aae-mir-34-5p"
"Q16W03","Developmental process"
"Q16WF1","aae-mir-34-5p"
"Q16WF1","Developmental process"
"Q16WM1","aae-mir-34-5p"
"Q16WM1","Developmental process"
"Q16XA3","aae-mir-34-5p"
"Q16XA3","Developmental process"
"Q16XT3","aae-mir-34-5p"
"Q16XT3","Developmental process"
"Q16YG3","aae-mir-34-5p"
"Q16YG3","Developmental process"
"Q16YG5","aae-mir-34-5p"
"Q16YG5","Developmental process"
"Q16YG8","aae-mir-34-5p"
"Q16YG8","Developmental process"
"Q16YZ8","aae-mir-34-5p"
"Q16YZ8","Developmental process"
"Q16YZ9","aae-mir-34-5p"
"Q16YZ9","Developmental process"
"Q16Z01","aae-mir-34-5p"
"Q16Z01","Developmental process"
"Q16ZB6","aae-mir-34-5p"
"Q16ZB6","Developmental process"
"Q170K4","aae-mir-34-5p"
"Q170K4","Developmental process"
"Q170K8","aae-mir-34-5p"
"Q170K8","Developmental process"
"Q170V1","aae-mir-34-5p"
"Q170V1","Developmental process"
"Q171J8","aae-mir-34-5p"
"Q171J8","Developmental process"
"Q172A6","aae-mir-34-5p"
"Q172A6","Developmental process"
"Q172L3","aae-mir-34-5p"
"Q172L3","Developmental process"
"Q173B0","aae-mir-34-5p"
"Q173B0","Developmental process"
"Q174K3","aae-mir-34-5p"
"Q174K3","Developmental process"
"Q174R8","aae-mir-34-5p"
"Q174R8","Developmental process"
"Q174R9","aae-mir-34-5p"
"Q174R9","Developmental process"
"Q174W8","aae-mir-34-5p"
"Q174W8","Developmental process"
"Q176B9","aae-mir-34-5p"
"Q176B9","Developmental process"
"Q176R2","aae-mir-34-5p"
"Q176R2","Developmental process"
"Q177R3","aae-mir-34-5p"
"Q177R3","Developmental process"
"Q178N5","aae-mir-34-5p"
"Q178N5","Developmental process"
"Q178X8","aae-mir-34-5p"
"Q178X8","Developmental process"
"Q17A00","aae-mir-34-5p"
"Q17A00","Developmental process"
"Q17BK4","aae-mir-34-5p"
"Q17BK4","Developmental process"
"Q17BN5","aae-mir-34-5p"
"Q17BN5","Developmental process"
"Q17BY7","aae-mir-34-5p"
"Q17BY7","Developmental process"
"Q17C29","aae-mir-34-5p"
"Q17C29","Developmental process"
"Q17C39","aae-mir-34-5p"
