"uniprot_id","enriched_term"
"Q0IF14","Developmental process"
"Q0IFC5","Developmental process"
"Q0IG29","Developmental process"
"Q16FK4","Developmental process"
"Q16G14","Developmental process"
"Q16GK5","Developmental process"
"Q16GL8","Developmental process"
"Q16HK0","Developmental process"
"Q16I15","Developmental process"
"Q16I75","Developmental process"
"Q16I88","Developmental process"
"Q16IN4","Developmental process"
"Q16IW8","Developmental process"
"Q16JC3","Developmental process"
"Q16JN7","Developmental process"
"Q16KQ8","Developmental process"
"Q16KQ9","Developmental process"
"Q16KR0","Developmental process"
"Q16KR1","Developmental process"
"Q16L96","Developmental process"
"Q16LK0","Developmental process"
"Q16LS6","Developmental process"
"Q16LU2","Developmental process"
"Q16LX7","Developmental process"
"Q16M45","Developmental process"
"Q16M53","Developmental process"
"Q16M54","Developmental process"
"Q16MK4","Developmental process"
"Q16N83","Developmental process"
"Q16N85","Developmental process"
"Q16NB0","Developmental process"
"Q16NC7","Developmental process"
"Q16PP6","Developmental process"
"Q16PT5","Developmental process"
"Q16R23","Developmental process"
"Q16R65","Developmental process"
"Q16R88","Developmental process"
"Q16RM1","Developmental process"
"Q16RU6","Developmental process"
"Q16S36","Developmental process"
"Q16SB0","Developmental process"
"Q16SL7","Developmental process"
"Q16TM2","Developmental process"
"Q16TR7","Developmental process"
"Q16U10","Developmental process"
"Q16U87","Developmental process"
"Q16U90","Developmental process"
"Q16UC4","Developmental process"
"Q16VM1","Developmental process"
"Q16VP6","Developmental process"
"Q16W03","Developmental process"
"Q16WF1","Developmental process"
"Q16WM1","Developmental process"
"Q16WV5","Developmental process"
"Q16XA3","Developmental process"
"Q16XT3","Developmental process"
"Q16Y82","Developmental process"
"Q16YG3","Developmental process"
"Q16YG5","Developmental process"
"Q16YG8","Developmental process"
"Q16YZ8","Developmental process"
"Q16YZ9","Developmental process"
"Q16Z01","Developmental process"
"Q16ZB6","Developmental process"
"Q170K4","Developmental process"
"Q170K8","Developmental process"
"Q170V1","Developmental process"
"Q171J8","Developmental process"
"Q172A6","Developmental process"
"Q172L3","Developmental process"
"Q173B0","Developmental process"
"Q174K3","Developmental process"
"Q174R8","Developmental process"
"Q174R9","Developmental process"
"Q174W8","Developmental process"
"Q176B9","Developmental process"
"Q176R2","Developmental process"
"Q177R3","Developmental process"
"Q177S2","Developmental process"
"Q178N5","Developmental process"
"Q178X8","Developmental process"
"Q17A00","Developmental process"
"Q17AZ6","Developmental process"
"Q17BK4","Developmental process"
"Q17BN5","Developmental process"
"Q17BY7","Developmental process"
"Q17C29","Developmental process"
"Q17C39","Developmental process"
"Q17C93","Developmental process"
"Q17CG1","Developmental process"
"Q17D24","Developmental process"
"Q17DB6","Developmental process"
"Q17DL2","Developmental process"
"Q17DM5","Developmental process"
"Q17E44","Developmental process"
"Q17EB3","Developmental process"
"Q17EP7","Developmental process"
"Q17F07","Developmental process"
"Q17F08","Developmental process"
"Q17F71","Developmental process"
