"uniprot_id","enriched_term"
"Q17AN8","Regulation of biological process"
"Q17BB1","Regulation of biological process"
"Q17BL6","Regulation of biological process"
"Q17C29","Regulation of biological process"
"Q17C40","Regulation of biological process"
"Q17C42","Regulation of biological process"
"Q17CH0","Regulation of biological process"
"Q17CU7","Regulation of biological process"
"Q17CY1","Regulation of biological process"
"Q17DB8","Regulation of biological process"
"Q17E14","Regulation of biological process"
"Q17E15","Regulation of biological process"
"Q17E51","Regulation of biological process"
"Q17E87","Regulation of biological process"
"Q17EP7","Regulation of biological process"
"Q17ET2","Regulation of biological process"
"Q17F60","Regulation of biological process"
"Q17FE8","Regulation of biological process"
"Q17FE9","Regulation of biological process"
"Q17FH2","Regulation of biological process"
"Q17FK6","Regulation of biological process"
"Q17FK7","Regulation of biological process"
"Q17FQ2","Regulation of biological process"
"Q17FY6","Regulation of biological process"
"Q17G33","Regulation of biological process"
"Q17GF1","Regulation of biological process"
"Q17GH6","Regulation of biological process"
"Q17GN3","Regulation of biological process"
"Q17GU4","Regulation of biological process"
"Q17ID1","Regulation of biological process"
"Q17JX3","Regulation of biological process"
"Q17KB4","Regulation of biological process"
"Q17KU9","Regulation of biological process"
"Q17MT2","Regulation of biological process"
"Q17NP6","Regulation of biological process"
"Q17NS1","Regulation of biological process"
"Q1DGD9","Regulation of biological process"
"Q1DGJ8","Regulation of biological process"
"Q1HR82","Regulation of biological process"
"J9HTN1","Regulation of cellular process"
"J9HTV7","Regulation of cellular process"
"J9HZD6","Regulation of cellular process"
"J9HZV2","Regulation of cellular process"
"Q0IEC2","Regulation of cellular process"
"Q0IFQ3","Regulation of cellular process"
"Q16G66","Regulation of cellular process"
"Q16HG5","Regulation of cellular process"
"Q16HZ7","Regulation of cellular process"
"Q16HZ8","Regulation of cellular process"
"Q16JH7","Regulation of cellular process"
"Q16JQ3","Regulation of cellular process"
"Q16JV4","Regulation of cellular process"
"Q16JZ7","Regulation of cellular process"
"Q16K82","Regulation of cellular process"
"Q16LF8","Regulation of cellular process"
"Q16M89","Regulation of cellular process"
"Q16MZ3","Regulation of cellular process"
"Q16N45","Regulation of cellular process"
"Q16NT2","Regulation of cellular process"
"Q16PA7","Regulation of cellular process"
"Q16PQ3","Regulation of cellular process"
"Q16PY9","Regulation of cellular process"
"Q16Q37","Regulation of cellular process"
"Q16QS4","Regulation of cellular process"
"Q16TH4","Regulation of cellular process"
"Q16TJ0","Regulation of cellular process"
"Q16TV2","Regulation of cellular process"
"Q16U75","Regulation of cellular process"
"Q16U83","Regulation of cellular process"
"Q16VE7","Regulation of cellular process"
"Q16VT5","Regulation of cellular process"
"Q16W25","Regulation of cellular process"
"Q16W86","Regulation of cellular process"
"Q16WA7","Regulation of cellular process"
"Q16WI5","Regulation of cellular process"
"Q16WN0","Regulation of cellular process"
"Q16XQ1","Regulation of cellular process"
"Q16YV5","Regulation of cellular process"
"Q16ZQ0","Regulation of cellular process"
"Q171F2","Regulation of cellular process"
"Q171F9","Regulation of cellular process"
"Q174F6","Regulation of cellular process"
"Q174S1","Regulation of cellular process"
"Q175E6","Regulation of cellular process"
"Q175Q0","Regulation of cellular process"
"Q175T7","Regulation of cellular process"
"Q176D4","Regulation of cellular process"
"Q176R3","Regulation of cellular process"
"Q177Z0","Regulation of cellular process"
"Q17AN7","Regulation of cellular process"
"Q17AN8","Regulation of cellular process"
"Q17BB1","Regulation of cellular process"
"Q17BL6","Regulation of cellular process"
"Q17C29","Regulation of cellular process"
"Q17C40","Regulation of cellular process"
"Q17C42","Regulation of cellular process"
"Q17CH0","Regulation of cellular process"
"Q17CY1","Regulation of cellular process"
"Q17DB8","Regulation of cellular process"
"Q17E14","Regulation of cellular process"
"Q17E15","Regulation of cellular process"
"Q17E51","Regulation of cellular process"
"Q17EP7","Regulation of cellular process"
"Q17ET2","Regulation of cellular process"
"Q17F60","Regulation of cellular process"
"Q17FE8","Regulation of cellular process"
"Q17FE9","Regulation of cellular process"
"Q17FH2","Regulation of cellular process"
"Q17FK6","Regulation of cellular process"
"Q17FK7","Regulation of cellular process"
"Q17FQ2","Regulation of cellular process"
"Q17G33","Regulation of cellular process"
"Q17GH6","Regulation of cellular process"
"Q17GN3","Regulation of cellular process"
"Q17GU4","Regulation of cellular process"
"Q17ID1","Regulation of cellular process"
"Q17JX3","Regulation of cellular process"
"Q17KB4","Regulation of cellular process"
"Q17KU9","Regulation of cellular process"
"Q17MT2","Regulation of cellular process"
"Q17NP6","Regulation of cellular process"
"Q17NS1","Regulation of cellular process"
"Q1DGD9","Regulation of cellular process"
"Q1DGJ8","Regulation of cellular process"
"Q1HR82","Regulation of cellular process"
"J9HZV2","mRNA 3-UTR binding"
"Q16PQ3","mRNA 3-UTR binding"
"Q16ZQ0","mRNA 3-UTR binding"
"Q175T7","mRNA 3-UTR binding"
"Q17BL6","mRNA 3-UTR binding"
"Q17DB8","mRNA 3-UTR binding"
"Q17FE8","mRNA 3-UTR binding"
"Q17FE9","mRNA 3-UTR binding"
"J9HTV7","mRNA binding"
"J9HZV2","mRNA binding"
"Q0IEC2","mRNA binding"
"Q0IFQ3","mRNA binding"
"Q16HG5","mRNA binding"
"Q16PQ3","mRNA binding"
"Q16ZQ0","mRNA binding"
"Q175T7","mRNA binding"
"Q17BL6","mRNA binding"
"Q17DB8","mRNA binding"
"Q17E15","mRNA binding"
"Q17FE8","mRNA binding"
"Q17FE9","mRNA binding"
"Q16HZ7","Lipid phosphorylation"
"Q16HZ8","Lipid phosphorylation"
"Q16PA7","Lipid phosphorylation"
"Q17CH0","Lipid phosphorylation"
"Q1DGJ8","Lipid phosphorylation"
"Q16HZ7","NAD kinase/diacylglycerol kinase-like domain superfamily"
"Q16HZ8","NAD kinase/diacylglycerol kinase-like domain superfamily"
"Q16PA7","NAD kinase/diacylglycerol kinase-like domain superfamily"
"Q17CH0","NAD kinase/diacylglycerol kinase-like domain superfamily"
"Q1DGJ8","NAD kinase/diacylglycerol kinase-like domain superfamily"
"J9HZV2","Regulation of RNA splicing"
"Q0IEC2","Regulation of RNA splicing"
"Q0IFQ3","Regulation of RNA splicing"
"Q16HG5","Regulation of RNA splicing"
"Q175T7","Regulation of RNA splicing"
"Q17E15","Regulation of RNA splicing"
"Q17FE8","Regulation of RNA splicing"
"Q17FE9","Regulation of RNA splicing"
"Q1HR82","Regulation of RNA splicing"
"Q16JH7","Regulation of receptor signaling pathway via JAK-STAT"
"Q16N45","Regulation of receptor signaling pathway via JAK-STAT"
"Q16VT5","Regulation of receptor signaling pathway via JAK-STAT"
"Q175E6","Regulation of receptor signaling pathway via JAK-STAT"
"Q17DB8","Regulation of receptor signaling pathway via JAK-STAT"
